Separate instrumented diagnostic: do not compare these times with unprofiled timings.

CUMULATIVE TIME
         30863101 function calls (30794331 primitive calls) in 19.146 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53330    0.061    0.000    0.090    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:109(__add__)
    53330    0.056    0.000    0.200    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:184(pointAtTime)
    53330    0.055    0.000    0.081    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:44(__sub__)
   200000    0.035    0.000    0.035    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:73(isPoint)
       10    0.033    0.003    0.033    0.003 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:193(__init__)
    53450    0.021    0.000    0.021    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:98(__init__)
   115710    0.018    0.000    0.018    0.000 {built-in method builtins.abs}
   102470    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
    14760    0.014    0.000    0.088    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:151(normalAt)
    38570    0.009    0.000    0.009    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:171(normalAt)
    14760    0.003    0.000    0.003    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:312(baseColourAt)
       10    0.000    0.000   19.146    1.915 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:357(bench_raytrace)
       80    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:306(__init__)
       10    0.000    0.000   19.146    1.915 /root/HW-SW-Co-Design/tools/workload.py:98(<lambda>)
       70    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:134(__init__)
       80    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:239(addObject)
      260    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:55(cross)
       10    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:341(__init__)
       10    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:225(__init__)
       10    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:157(__init__)
       20    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:242(addLight)
       10    0.000    0.000    0.000    0.000 {built-in method math.tan}
       70    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:128(mustBePoint)
       20    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       10    0.000    0.000    0.000    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:236(lookAt)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


